names_IUCN,names_phylo,names_elton,diff_IUCN_elton,diff_IUCN_phylo
Bassaricyon_alleni,Bassaricyon_alleni,Bassaricyon_alleni,,
Bassaricyon_gabbii,Bassaricyon_gabbii,Bassaricyon_gabbii,,
Bassaricyon_medius,Bassaricyon_medius,Bassaricyon_gabbii,Lump/split,
Bassaricyon_neblina,Bassaricyon_neblina,Bassaricyon_pauli,Recently discovered,
Bassariscus_astutus,Bassariscus_astutus,Bassariscus_astutus,,
Bassariscus_sumichrasti,Bassariscus_sumichrasti,Bassariscus_sumichrasti,,
Bathyergus_janetta,Bathyergus_janetta,Bathyergus_janetta,,
Bathyergus_suillus,Bathyergus_suillus,Bathyergus_suillus,,
Batomys_dentatus,Batomys_dentatus,Batomys_dentatus,,
Batomys_granti,Batomys_granti,Batomys_granti,,
Batomys_hamiguitan,Batomys_salomonseni,Batomys_salomonseni,Recently discovered,Recently discovered
Batomys_russatus,Batomys_russatus,Batomys_russatus,,
Batomys_salomonseni,Batomys_salomonseni,Batomys_salomonseni,,
Bauerus_dubiaquercus,Bauerus_dubiaquercus,Bauerus_dubiaquercus,,
